Control ID,Control Name,Technique ID,Technique Name,CIS Control,CIS Sub-Control,Title,Control Identifier,Control or Control Enhancement Name
AC-17,Remote Access,T1543,Create or Modify System Process,13.0,13.5,Manage Access Control for Remote Assets,AC-17,Remote Access
AC-17,Remote Access,T1543.003,Windows Service,12.0,12.7,Ensure Remote Devices Utilize a VPN and are Connecting to an Enterprise’s AAA Infrastructure,AC-17,Remote Access
AC-17,Remote Access,T1543.003,Windows Service,13.0,13.5,Manage Access Control for Remote Assets,AC-17,Remote Access
AC-17,Remote Access,T1547.003,Time Providers,12.0,12.7,Ensure Remote Devices Utilize a VPN and are Connecting to an Enterprise’s AAA Infrastructure,AC-17,Remote Access
AC-17,Remote Access,T1547.003,Time Providers,13.0,13.5,Manage Access Control for Remote Assets,AC-17,Remote Access
AC-17,Remote Access,T1547.004,Winlogon Helper DLL,12.0,12.7,Ensure Remote Devices Utilize a VPN and are Connecting to an Enterprise’s AAA Infrastructure,AC-17,Remote Access
AC-17,Remote Access,T1547.004,Winlogon Helper DLL,13.0,13.5,Manage Access Control for Remote Assets,AC-17,Remote Access
AC-17,Remote Access,T1547.009,Shortcut Modification,12.0,12.7,Ensure Remote Devices Utilize a VPN and are Connecting to an Enterprise’s AAA Infrastructure,AC-17,Remote Access
AC-17,Remote Access,T1547.009,Shortcut Modification,13.0,13.5,Manage Access Control for Remote Assets,AC-17,Remote Access
AC-17,Remote Access,T1550.001,Application Access Token,12.0,12.7,Ensure Remote Devices Utilize a VPN and are Connecting to an Enterprise’s AAA Infrastructure,AC-17,Remote Access
AC-17,Remote Access,T1550.001,Application Access Token,13.0,13.5,Manage Access Control for Remote Assets,AC-17,Remote Access
AC-17,Remote Access,T1558,Steal or Forge Kerberos Tickets,12.0,12.7,Ensure Remote Devices Utilize a VPN and are Connecting to an Enterprise’s AAA Infrastructure,AC-17,Remote Access
AC-17,Remote Access,T1558,Steal or Forge Kerberos Tickets,13.0,13.5,Manage Access Control for Remote Assets,AC-17,Remote Access
AC-17,Remote Access,T1558.003,Kerberoasting,12.0,12.7,Ensure Remote Devices Utilize a VPN and are Connecting to an Enterprise’s AAA Infrastructure,AC-17,Remote Access
AC-17,Remote Access,T1558.003,Kerberoasting,13.0,13.5,Manage Access Control for Remote Assets,AC-17,Remote Access
AC-17,Remote Access,T1565,Data Manipulation,12.0,12.7,Ensure Remote Devices Utilize a VPN and are Connecting to an Enterprise’s AAA Infrastructure,AC-17,Remote Access
AC-17,Remote Access,T1565,Data Manipulation,13.0,13.5,Manage Access Control for Remote Assets,AC-17,Remote Access
AC-17,Remote Access,T1565.001,Stored Data Manipulation,12.0,12.7,Ensure Remote Devices Utilize a VPN and are Connecting to an Enterprise’s AAA Infrastructure,AC-17,Remote Access
AC-17,Remote Access,T1565.001,Stored Data Manipulation,13.0,13.5,Manage Access Control for Remote Assets,AC-17,Remote Access
AC-17,Remote Access,T1565.002,Transmitted Data Manipulation,12.0,12.7,Ensure Remote Devices Utilize a VPN and are Connecting to an Enterprise’s AAA Infrastructure,AC-17,Remote Access
AC-17,Remote Access,T1565.002,Transmitted Data Manipulation,13.0,13.5,Manage Access Control for Remote Assets,AC-17,Remote Access
AC-17,Remote Access,T1602.002,Network Device Configuration Dump,12.0,12.7,Ensure Remote Devices Utilize a VPN and are Connecting to an Enterprise’s AAA Infrastructure,AC-17,Remote Access
AC-17,Remote Access,T1602.002,Network Device Configuration Dump,13.0,13.5,Manage Access Control for Remote Assets,AC-17,Remote Access
AC-17,Remote Access,T1021,Remote Services,12.0,12.7,Ensure Remote Devices Utilize a VPN and are Connecting to an Enterprise’s AAA Infrastructure,AC-17,Remote Access
AC-17,Remote Access,T1021,Remote Services,13.0,13.5,Manage Access Control for Remote Assets,AC-17,Remote Access
AC-17,Remote Access,T1021.002,SMB/Windows Admin Shares,12.0,12.7,Ensure Remote Devices Utilize a VPN and are Connecting to an Enterprise’s AAA Infrastructure,AC-17,Remote Access
AC-17,Remote Access,T1021.002,SMB/Windows Admin Shares,13.0,13.5,Manage Access Control for Remote Assets,AC-17,Remote Access
AC-17,Remote Access,T1021.003,Distributed Component Object Model,12.0,12.7,Ensure Remote Devices Utilize a VPN and are Connecting to an Enterprise’s AAA Infrastructure,AC-17,Remote Access
AC-17,Remote Access,T1021.003,Distributed Component Object Model,13.0,13.5,Manage Access Control for Remote Assets,AC-17,Remote Access
AC-17,Remote Access,T1021.004,SSH,12.0,12.7,Ensure Remote Devices Utilize a VPN and are Connecting to an Enterprise’s AAA Infrastructure,AC-17,Remote Access
AC-17,Remote Access,T1021.004,SSH,13.0,13.5,Manage Access Control for Remote Assets,AC-17,Remote Access
AC-17,Remote Access,T1021.005,VNC,12.0,12.7,Ensure Remote Devices Utilize a VPN and are Connecting to an Enterprise’s AAA Infrastructure,AC-17,Remote Access
AC-17,Remote Access,T1021.005,VNC,13.0,13.5,Manage Access Control for Remote Assets,AC-17,Remote Access
AC-17,Remote Access,T1021.006,Windows Remote Management,12.0,12.7,Ensure Remote Devices Utilize a VPN and are Connecting to an Enterprise’s AAA Infrastructure,AC-17,Remote Access
AC-17,Remote Access,T1021.006,Windows Remote Management,13.0,13.5,Manage Access Control for Remote Assets,AC-17,Remote Access
AC-17,Remote Access,T1037,Boot or Logon Initialization Scripts,12.0,12.7,Ensure Remote Devices Utilize a VPN and are Connecting to an Enterprise’s AAA Infrastructure,AC-17,Remote Access
AC-17,Remote Access,T1037,Boot or Logon Initialization Scripts,13.0,13.5,Manage Access Control for Remote Assets,AC-17,Remote Access
AC-17,Remote Access,T1037.001,Logon Script (Windows),12.0,12.7,Ensure Remote Devices Utilize a VPN and are Connecting to an Enterprise’s AAA Infrastructure,AC-17,Remote Access
AC-17,Remote Access,T1037.001,Logon Script (Windows),13.0,13.5,Manage Access Control for Remote Assets,AC-17,Remote Access
AC-17,Remote Access,T1059.003,Windows Command Shell,12.0,12.7,Ensure Remote Devices Utilize a VPN and are Connecting to an Enterprise’s AAA Infrastructure,AC-17,Remote Access
AC-17,Remote Access,T1059.003,Windows Command Shell,13.0,13.5,Manage Access Control for Remote Assets,AC-17,Remote Access
AC-17,Remote Access,T1059.004,Unix Shell,12.0,12.7,Ensure Remote Devices Utilize a VPN and are Connecting to an Enterprise’s AAA Infrastructure,AC-17,Remote Access
AC-17,Remote Access,T1059.004,Unix Shell,13.0,13.5,Manage Access Control for Remote Assets,AC-17,Remote Access
AC-17,Remote Access,T1059.006,Python,12.0,12.7,Ensure Remote Devices Utilize a VPN and are Connecting to an Enterprise’s AAA Infrastructure,AC-17,Remote Access
AC-17,Remote Access,T1059.006,Python,13.0,13.5,Manage Access Control for Remote Assets,AC-17,Remote Access
AC-17,Remote Access,T1059.007,JavaScript,12.0,12.7,Ensure Remote Devices Utilize a VPN and are Connecting to an Enterprise’s AAA Infrastructure,AC-17,Remote Access
AC-17,Remote Access,T1059.007,JavaScript,13.0,13.5,Manage Access Control for Remote Assets,AC-17,Remote Access
AC-17,Remote Access,T1070.002,Clear Linux or Mac System Logs,12.0,12.7,Ensure Remote Devices Utilize a VPN and are Connecting to an Enterprise’s AAA Infrastructure,AC-17,Remote Access
AC-17,Remote Access,T1070.002,Clear Linux or Mac System Logs,13.0,13.5,Manage Access Control for Remote Assets,AC-17,Remote Access
AC-17,Remote Access,T1114,Email Collection,12.0,12.7,Ensure Remote Devices Utilize a VPN and are Connecting to an Enterprise’s AAA Infrastructure,AC-17,Remote Access
AC-17,Remote Access,T1114,Email Collection,13.0,13.5,Manage Access Control for Remote Assets,AC-17,Remote Access
AC-17,Remote Access,T1114.001,Local Email Collection,12.0,12.7,Ensure Remote Devices Utilize a VPN and are Connecting to an Enterprise’s AAA Infrastructure,AC-17,Remote Access
AC-17,Remote Access,T1114.001,Local Email Collection,13.0,13.5,Manage Access Control for Remote Assets,AC-17,Remote Access
AC-17,Remote Access,T1114.002,Remote Email Collection,12.0,12.7,Ensure Remote Devices Utilize a VPN and are Connecting to an Enterprise’s AAA Infrastructure,AC-17,Remote Access
AC-17,Remote Access,T1114.002,Remote Email Collection,13.0,13.5,Manage Access Control for Remote Assets,AC-17,Remote Access
AC-17,Remote Access,T1114.003,Email Forwarding Rule,12.0,12.7,Ensure Remote Devices Utilize a VPN and are Connecting to an Enterprise’s AAA Infrastructure,AC-17,Remote Access
AC-17,Remote Access,T1114.003,Email Forwarding Rule,13.0,13.5,Manage Access Control for Remote Assets,AC-17,Remote Access
AC-17,Remote Access,T1137,Office Application Startup,12.0,12.7,Ensure Remote Devices Utilize a VPN and are Connecting to an Enterprise’s AAA Infrastructure,AC-17,Remote Access
AC-17,Remote Access,T1137,Office Application Startup,13.0,13.5,Manage Access Control for Remote Assets,AC-17,Remote Access
AC-17,Remote Access,T1137.002,Office Test,12.0,12.7,Ensure Remote Devices Utilize a VPN and are Connecting to an Enterprise’s AAA Infrastructure,AC-17,Remote Access
AC-17,Remote Access,T1137.002,Office Test,13.0,13.5,Manage Access Control for Remote Assets,AC-17,Remote Access
AC-17,Remote Access,T1213,Data from Information Repositories,12.0,12.7,Ensure Remote Devices Utilize a VPN and are Connecting to an Enterprise’s AAA Infrastructure,AC-17,Remote Access
AC-17,Remote Access,T1213,Data from Information Repositories,13.0,13.5,Manage Access Control for Remote Assets,AC-17,Remote Access
AC-17,Remote Access,T1213.001,Confluence,12.0,12.7,Ensure Remote Devices Utilize a VPN and are Connecting to an Enterprise’s AAA Infrastructure,AC-17,Remote Access
AC-17,Remote Access,T1213.001,Confluence,13.0,13.5,Manage Access Control for Remote Assets,AC-17,Remote Access
AC-17,Remote Access,T1213.002,Sharepoint,12.0,12.7,Ensure Remote Devices Utilize a VPN and are Connecting to an Enterprise’s AAA Infrastructure,AC-17,Remote Access
AC-17,Remote Access,T1213.002,Sharepoint,13.0,13.5,Manage Access Control for Remote Assets,AC-17,Remote Access
AC-17,Remote Access,T1505.004,IIS Components,12.0,12.7,Ensure Remote Devices Utilize a VPN and are Connecting to an Enterprise’s AAA Infrastructure,AC-17,Remote Access
AC-17,Remote Access,T1505.004,IIS Components,13.0,13.5,Manage Access Control for Remote Assets,AC-17,Remote Access
AC-17,Remote Access,T1543.004,Launch Daemon,12.0,12.7,Ensure Remote Devices Utilize a VPN and are Connecting to an Enterprise’s AAA Infrastructure,AC-17,Remote Access
AC-17,Remote Access,T1543.004,Launch Daemon,13.0,13.5,Manage Access Control for Remote Assets,AC-17,Remote Access
AC-17,Remote Access,T1547.012,Print Processors,12.0,12.7,Ensure Remote Devices Utilize a VPN and are Connecting to an Enterprise’s AAA Infrastructure,AC-17,Remote Access
AC-17,Remote Access,T1547.012,Print Processors,13.0,13.5,Manage Access Control for Remote Assets,AC-17,Remote Access
AC-17,Remote Access,T1547.013,XDG Autostart Entries,12.0,12.7,Ensure Remote Devices Utilize a VPN and are Connecting to an Enterprise’s AAA Infrastructure,AC-17,Remote Access
AC-17,Remote Access,T1547.013,XDG Autostart Entries,13.0,13.5,Manage Access Control for Remote Assets,AC-17,Remote Access
AC-17,Remote Access,T1552,Unsecured Credentials,12.0,12.7,Ensure Remote Devices Utilize a VPN and are Connecting to an Enterprise’s AAA Infrastructure,AC-17,Remote Access
AC-17,Remote Access,T1552,Unsecured Credentials,13.0,13.5,Manage Access Control for Remote Assets,AC-17,Remote Access
AC-17,Remote Access,T1552.002,Credentials in Registry,12.0,12.7,Ensure Remote Devices Utilize a VPN and are Connecting to an Enterprise’s AAA Infrastructure,AC-17,Remote Access
AC-17,Remote Access,T1552.002,Credentials in Registry,13.0,13.5,Manage Access Control for Remote Assets,AC-17,Remote Access
AC-17,Remote Access,T1552.004,Private Keys,12.0,12.7,Ensure Remote Devices Utilize a VPN and are Connecting to an Enterprise’s AAA Infrastructure,AC-17,Remote Access
AC-17,Remote Access,T1552.004,Private Keys,13.0,13.5,Manage Access Control for Remote Assets,AC-17,Remote Access
AC-17,Remote Access,T1557.002,ARP Cache Poisoning,12.0,12.7,Ensure Remote Devices Utilize a VPN and are Connecting to an Enterprise’s AAA Infrastructure,AC-17,Remote Access
AC-17,Remote Access,T1557.002,ARP Cache Poisoning,13.0,13.5,Manage Access Control for Remote Assets,AC-17,Remote Access
AC-17,Remote Access,T1558.002,Silver Ticket,12.0,12.7,Ensure Remote Devices Utilize a VPN and are Connecting to an Enterprise’s AAA Infrastructure,AC-17,Remote Access
AC-17,Remote Access,T1558.002,Silver Ticket,13.0,13.5,Manage Access Control for Remote Assets,AC-17,Remote Access
AC-17,Remote Access,T1558.004,AS-REP Roasting,12.0,12.7,Ensure Remote Devices Utilize a VPN and are Connecting to an Enterprise’s AAA Infrastructure,AC-17,Remote Access
AC-17,Remote Access,T1558.004,AS-REP Roasting,13.0,13.5,Manage Access Control for Remote Assets,AC-17,Remote Access
AC-17,Remote Access,T1563,Remote Service Session Hijacking,12.0,12.7,Ensure Remote Devices Utilize a VPN and are Connecting to an Enterprise’s AAA Infrastructure,AC-17,Remote Access
AC-17,Remote Access,T1563,Remote Service Session Hijacking,13.0,13.5,Manage Access Control for Remote Assets,AC-17,Remote Access
AC-17,Remote Access,T1563.001,SSH Hijacking,12.0,12.7,Ensure Remote Devices Utilize a VPN and are Connecting to an Enterprise’s AAA Infrastructure,AC-17,Remote Access
AC-17,Remote Access,T1563.001,SSH Hijacking,13.0,13.5,Manage Access Control for Remote Assets,AC-17,Remote Access
AC-17,Remote Access,T1563.002,RDP Hijacking,12.0,12.7,Ensure Remote Devices Utilize a VPN and are Connecting to an Enterprise’s AAA Infrastructure,AC-17,Remote Access
AC-17,Remote Access,T1563.002,RDP Hijacking,13.0,13.5,Manage Access Control for Remote Assets,AC-17,Remote Access
AC-17,Remote Access,T1602,Data from Configuration Repository,12.0,12.7,Ensure Remote Devices Utilize a VPN and are Connecting to an Enterprise’s AAA Infrastructure,AC-17,Remote Access
AC-17,Remote Access,T1602,Data from Configuration Repository,13.0,13.5,Manage Access Control for Remote Assets,AC-17,Remote Access
AC-17,Remote Access,T1602.001,SNMP (MIB Dump),12.0,12.7,Ensure Remote Devices Utilize a VPN and are Connecting to an Enterprise’s AAA Infrastructure,AC-17,Remote Access
AC-17,Remote Access,T1602.001,SNMP (MIB Dump),13.0,13.5,Manage Access Control for Remote Assets,AC-17,Remote Access
AC-17,Remote Access,T1612,Build Image on Host,12.0,12.7,Ensure Remote Devices Utilize a VPN and are Connecting to an Enterprise’s AAA Infrastructure,AC-17,Remote Access
AC-17,Remote Access,T1612,Build Image on Host,13.0,13.5,Manage Access Control for Remote Assets,AC-17,Remote Access
AC-17,Remote Access,T1613,Container and Resource Discovery,12.0,12.7,Ensure Remote Devices Utilize a VPN and are Connecting to an Enterprise’s AAA Infrastructure,AC-17,Remote Access
AC-17,Remote Access,T1613,Container and Resource Discovery,13.0,13.5,Manage Access Control for Remote Assets,AC-17,Remote Access
AC-17,Remote Access,T1619,Cloud Storage Object Discovery,12.0,12.7,Ensure Remote Devices Utilize a VPN and are Connecting to an Enterprise’s AAA Infrastructure,AC-17,Remote Access
AC-17,Remote Access,T1619,Cloud Storage Object Discovery,13.0,13.5,Manage Access Control for Remote Assets,AC-17,Remote Access
AC-18,Wireless Access,T1070.008,Clear Mailbox Data,4.0,4.2,Establish and Maintain a Secure Configuration Process for Network Infrastructure,AC-18,Wireless Access
AC-18,Wireless Access,T1070.008,Clear Mailbox Data,12.0,12.6,Use of Secure Network Management and Communication Protocols ,AC-18,Wireless Access
AC-18,Wireless Access,T1070.001,Clear Windows Event Logs,4.0,4.2,Establish and Maintain a Secure Configuration Process for Network Infrastructure,AC-18,Wireless Access
AC-18,Wireless Access,T1070.001,Clear Windows Event Logs,12.0,12.6,Use of Secure Network Management and Communication Protocols ,AC-18,Wireless Access
AC-18,Wireless Access,T1040,Network Sniffing,4.0,4.2,Establish and Maintain a Secure Configuration Process for Network Infrastructure,AC-18,Wireless Access
AC-18,Wireless Access,T1040,Network Sniffing,12.0,12.6,Use of Secure Network Management and Communication Protocols ,AC-18,Wireless Access
AC-18,Wireless Access,T1119,Automated Collection,4.0,4.2,Establish and Maintain a Secure Configuration Process for Network Infrastructure,AC-18,Wireless Access
AC-18,Wireless Access,T1119,Automated Collection,12.0,12.6,Use of Secure Network Management and Communication Protocols ,AC-18,Wireless Access
AC-18,Wireless Access,T1530,Data from Cloud Storage Object,4.0,4.2,Establish and Maintain a Secure Configuration Process for Network Infrastructure,AC-18,Wireless Access
AC-18,Wireless Access,T1530,Data from Cloud Storage Object,12.0,12.6,Use of Secure Network Management and Communication Protocols ,AC-18,Wireless Access
AC-18,Wireless Access,T1557,Adversary-in-the-Middle,4.0,4.2,Establish and Maintain a Secure Configuration Process for Network Infrastructure,AC-18,Wireless Access
AC-18,Wireless Access,T1557,Adversary-in-the-Middle,12.0,12.6,Use of Secure Network Management and Communication Protocols ,AC-18,Wireless Access
AC-18,Wireless Access,T1011,Exfiltration Over Other Network Medium,4.0,4.2,Establish and Maintain a Secure Configuration Process for Network Infrastructure,AC-18,Wireless Access
AC-18,Wireless Access,T1011,Exfiltration Over Other Network Medium,12.0,12.6,Use of Secure Network Management and Communication Protocols ,AC-18,Wireless Access
AC-18,Wireless Access,T1011.001,Exfiltration Over Bluetooth,4.0,4.2,Establish and Maintain a Secure Configuration Process for Network Infrastructure,AC-18,Wireless Access
AC-18,Wireless Access,T1011.001,Exfiltration Over Bluetooth,12.0,12.6,Use of Secure Network Management and Communication Protocols ,AC-18,Wireless Access
AC-18,Wireless Access,T1020.001,Traffic Duplication,4.0,4.2,Establish and Maintain a Secure Configuration Process for Network Infrastructure,AC-18,Wireless Access
AC-18,Wireless Access,T1020.001,Traffic Duplication,12.0,12.6,Use of Secure Network Management and Communication Protocols ,AC-18,Wireless Access
AC-18,Wireless Access,T1070,Indicator Removal on Host,4.0,4.2,Establish and Maintain a Secure Configuration Process for Network Infrastructure,AC-18,Wireless Access
AC-18,Wireless Access,T1070,Indicator Removal on Host,12.0,12.6,Use of Secure Network Management and Communication Protocols ,AC-18,Wireless Access
AC-18,Wireless Access,T1558,Steal or Forge Kerberos Tickets,4.0,4.2,Establish and Maintain a Secure Configuration Process for Network Infrastructure,AC-18,Wireless Access
AC-18,Wireless Access,T1558,Steal or Forge Kerberos Tickets,12.0,12.6,Use of Secure Network Management and Communication Protocols ,AC-18,Wireless Access
AC-18,Wireless Access,T1558.003,Kerberoasting,4.0,4.2,Establish and Maintain a Secure Configuration Process for Network Infrastructure,AC-18,Wireless Access
AC-18,Wireless Access,T1558.003,Kerberoasting,12.0,12.6,Use of Secure Network Management and Communication Protocols ,AC-18,Wireless Access
AC-18,Wireless Access,T1565,Data Manipulation,4.0,4.2,Establish and Maintain a Secure Configuration Process for Network Infrastructure,AC-18,Wireless Access
AC-18,Wireless Access,T1565,Data Manipulation,12.0,12.6,Use of Secure Network Management and Communication Protocols ,AC-18,Wireless Access
AC-18,Wireless Access,T1565.001,Stored Data Manipulation,4.0,4.2,Establish and Maintain a Secure Configuration Process for Network Infrastructure,AC-18,Wireless Access
AC-18,Wireless Access,T1565.001,Stored Data Manipulation,12.0,12.6,Use of Secure Network Management and Communication Protocols ,AC-18,Wireless Access
AC-18,Wireless Access,T1565.002,Transmitted Data Manipulation,4.0,4.2,Establish and Maintain a Secure Configuration Process for Network Infrastructure,AC-18,Wireless Access
